,Retail and Food Services Sales,Commercial_Credit_Index,Real personal consumption expenditures,Real Personal Income,Consumer_Credit_Index,Total Business Inventories,Real personal income ex transfer receipts,Avg_Hourly_Earnings_Employment,Real Manu. and Trade Industries Sales,Securities in Bank Credit at All Commercial Banks,CPI : All Items,Un lled Orders for Durable Goods,Real M2 Money Stock,Personal Cons. Expend.: Chain Index,PPI_Index,New Orders for Durable Goods,IP Index,Stock_Market_Performance_Index,Civilian Employment,IP_Prod_Equipment_Index,Civilian Labor Force,IP_Materials_Index,IP: Fuels,IP_Final_Products_Index,Tertiary_Sector_Index,Public_Sector_Employment,Monetary_Aggregates_Index,IP: Consumer_Goods_Index,Consumer_Spending_Index,"Crude Oil, spliced WTI and Cushing",Banking_Reserves_Index,Average Duration of Unemployment (Weeks),Help-Wanted Index for United States,Avg_weekly_hours_Employment,Canada / U.S. Foreign Exchange Rate,Nonrevolving consumer credit to Personal Income,Spread_Index,Initial Claims,Ratio of Help Wanted/No. Unemployed,Civilian Unemployment Rate,New Private Housing Permits (SAAR),Primary_Sector_Employment,Stock_Market_Valuation_Index,Credit_Market_Index,Housing Starts: Total New Privately Owned,Capacity Utilization: Manufacturing,Short_Term_Rate_Index,Long_Term_Rate_Index,U.S. / U.K. Foreign Exchange Rate,Secondary_Sector_Employment,Switzerland / U.S. Foreign Exchange Rate,Japan / U.S. Foreign Exchange Rate,Total Business: Inventories to Sales Ratio,PCE
1991-10-01,-0.2973119947392036,-0.3344659231345943,-0.2449263958738617,-0.2130209173546833,-0.4712394484156291,-0.1336971356400149,-0.2129727362699591,-0.0621496035629878,-0.2973512122952181,-0.385955344561462,0.0290248987480571,-0.0731902152353121,-0.3017369502554247,0.117425003607467,-0.0937652050847969,-0.2239533318374413,-0.2037242927346367,-0.4741120083092002,0.0881413571434663,-0.1895890732522158,0.1482734944094496,-0.1153560438854411,-0.1842922368007706,-0.0639853718604712,1.0808340722686345,0.2441344764346362,-0.3039525271219362,0.0061128657307056,1.4708219550328088,-0.4342103137919127,-0.4927547731579373,-0.2722563690945317,-0.714837840473363,-0.0015598088159466,-0.3107275977863567,-1.7416452602356172,0.3186812916841796,0.5825788816658037,-0.9958937975309456,0.8474605154975942,-0.8195635289539324,-0.2861177903261143,0.146256678593997,0.6043710028693517,-0.9854339635809276,-0.0984338712947961,-0.1186386543873198,0.2066988949925403,-0.0952037739787934,1.0496050988282808,-0.5781004213833243,-0.6670098860054362,1.028000208407409,-0.3110987230605506
1992-01-01,-0.2887013916882536,-0.3389123061288538,-0.2148102527640099,-0.1847922956783385,-0.4710746017548018,-0.1410447480904312,-0.1826763454856417,-0.0565810031800436,-0.248144122770102,-0.3695761511655633,0.0389373826056111,-0.0910752510662391,-0.2931502177295985,0.1274516205767983,-0.1063532802484512,-0.093590114430689,-0.1794503756968493,-0.4468391616722587,0.1086473667074191,-0.1650998294378651,0.1781853622882476,-0.0864444796368561,-0.2484353280633992,-0.040622640971311,1.0372666670267137,0.2601322874320109,-0.2883726840910111,0.0417022706675048,1.4906464740360446,-0.4546111369738047,-0.4799865317807488,-0.0415954506563511,-0.6554259028649978,-0.0648861427490204,-0.0359875401365279,-1.8420103913639665,1.0491349831353278,0.4267874488395767,-0.9873781250472178,0.908110494362993,-0.7648796671406536,-0.3287844943239902,0.2352242041411741,0.6912504426723405,-0.4227580011388486,0.0119231683297664,-0.1627111141810952,0.3416613677462077,-0.2780099704224218,0.8838625603188796,-0.4995165149924158,-0.6221659699695435,0.5315290587450328,-0.2909350981818975
1992-04-01,-0.269999281614487,-0.3438144835661331,-0.1985470616083754,-0.1641875338681283,-0.471443701864035,-0.125498922280849,-0.1586239714869209,-0.0435343209945511,-0.2254433752306159,-0.351748804301568,0.0519869795836538,-0.0868365349961493,-0.2987613672191236,0.1400543546410368,-0.0479330312811213,-0.0414237066066232,-0.146003679286778,-0.4414661076234117,0.1226977378594343,-0.1288289658975974,0.2064871562776223,-0.0546727420283498,-0.2659426585640383,-0.0092659495858256,1.054078142716936,0.2642971291512324,-0.2681527675016216,0.0853128218480701,1.5305965697648285,-0.3371960830866761,-0.4531265357669424,0.1076557318624713,-0.6807309874018941,0.172789834906645,0.00663854365349,-1.99179658965738,0.9671502061410736,0.3653284432292302,-1.0541486580528563,1.1507104098245864,-0.8299795026326521,-0.4104574901761628,0.3124123897613463,0.6864072830324375,-0.7614290372699943,0.125773782833908,-0.1926528033211697,0.2732725536642806,-0.0387638097718663,0.899639497943862,-0.5610634593765399,-0.6783581733429953,0.3824084344986737,-0.2784127689537486
1992-07-01,-0.2523026871421919,-0.3443362633344043,-0.1827775272601692,-0.1629589833092806,-0.4764482040692117,-0.1157830589328273,-0.1630972422734503,-0.0443952511140723,-0.208212664791401,-0.3323930402444726,0.0661334112917644,-0.1165520949170726,-0.3041617015990305,0.1546426800551737,-0.0261250576057175,-0.0851395613616172,-0.134604727101007,-0.4202951971091466,0.1291842385732523,-0.1150609817360985,0.207143338124516,-0.0553657660504264,-0.309012607949866,0.0099800119097901,1.01231054490905,0.2798533737343692,-0.2560531424154985,0.1150428302690364,1.5677218845588834,-0.35325197221319,-0.4397987431994219,0.0940874425425786,-0.7043857403385579,0.0245775095872844,0.1751469631924359,-2.0296506163402075,0.5619436680896697,0.3553234888275459,-1.0445383287342842,1.0294104520937897,-0.6815518777108956,-0.4956313679854979,0.3543827834113333,0.6360580096983203,-0.5919683536718257,0.0917763084343728,-0.4313363626346064,-0.0189717724362239,-0.0710833550707801,0.81219302215356,-0.6537978005165864,-0.7103392758628525,0.3224897413537354,-0.2655802998405256
1992-10-01,-0.2374163712663588,-0.3445435749309609,-0.1674501215184572,-0.1070501153246312,-0.4930962242828906,-0.104968374939945,-0.0965796815890633,-0.033428786377614,-0.177317399551667,-0.3159708408208532,0.0789499891187799,-0.1271329994505353,-0.3065188965357314,0.168667089903199,-0.0613176497772895,-0.0270565731855185,-0.1083274719314962,-0.4336404764650263,0.1387966730291188,-0.0907211919403883,0.2117567295215796,-0.047449998696726,-0.2481946476640745,0.0479725461385521,1.0509416841032402,0.2881848458868301,-0.2424331952984338,0.1653499018229713,1.5886769805074437,-0.4379442414957532,-0.4295477030728916,0.2162020464216151,-0.6185684971264751,0.2661083451462672,0.4728156727028587,-2.254108221315227,1.4634038528803304,-0.0906116216475261,-0.9759773799227296,0.908110494362993,-0.5201042856907395,-0.4502826262357188,0.3411312253712728,0.7071256986910537,-0.6935285460820727,0.1241966833168436,-0.3720752649980647,0.1110291991902589,-0.6696615379281254,0.8603204429388335,-0.5180750400123619,-0.6829070599346043,0.3741231286178717,-0.2518142801732054
1993-01-01,-0.2260202458302736,-0.35299643086543,-0.1551183827127478,-0.1468462940311305,-0.4923255209387616,-0.0917045667904019,-0.1522503167335087,-0.023552454349061,-0.1688053636541139,-0.3001042423725221,0.0896658219783577,-0.1506443826777054,-0.3225886122106858,0.1789056922531073,-0.071848832715759,-0.0120725184894204,-0.0889080871970901,-0.3958307595019741,0.1582181132283601,-0.0683890544299326,0.2142263048765231,-0.0319063569310129,-0.2757514525662585,0.0700260588455378,1.107997184323522,0.2893779404956784,-0.2362380430488914,0.2098237800960472,1.6017276399406837,-0.4060361320265711,-0.470643041379848,0.0262459959431137,-0.605915954858027,0.2000439775286012,0.299346129443155,-2.1617373442819376,0.3802625150512487,-0.0220062200359765,-0.91687308523121,0.665510578901399,-0.832583496052332,-0.5460586566888703,0.2830754092269049,0.4104653627228594,-0.8987995023262587,0.2008157712472111,-0.3912447152935346,-0.1279345257372491,-0.872043512618643,0.908838767815956,-0.4359666884649456,-0.7310212976889765,0.4223067000855451,-0.2392630492696572
1993-04-01,-0.2087529541829003,-0.3601447208384467,-0.1340160755787812,-0.1510416911331267,-0.4808723583465815,-0.0782078720108659,-0.1344132264222228,-0.0136830894637297,-0.1474309571674344,-0.2837127716782807,0.1024282751580906,-0.1681851503022937,-0.3380670143438379,0.191544397700985,-0.0913929781093607,0.0302484623355243,-0.0839269872288752,-0.4102709370681631,0.2026755874093471,-0.0663978333267184,0.244142268142144,-0.0182701183441574,-0.2350433406406872,0.0595231871061723,1.2769395564957589,0.3167172268769445,-0.3009143432472667,0.1896611787790664,1.6421941914462002,-0.449383638188428,-0.5022545802478392,0.0533825745828996,-0.5833614229881847,0.4705301705122724,0.5160624711833743,-2.135586198633495,0.8297980398316454,-0.0691724336439168,-0.910635201682181,0.665510578901399,-0.6398879829960167,-0.6886832158672908,0.2263487832330834,0.3893222957412059,-0.3775737610847053,0.1635043915333354,-0.4363722379591994,-0.1892911139841934,-0.7492954373444974,0.8963156582065823,-0.4849613859001492,-0.8371642317047873,0.3300735862509233,-0.212417386459207
1993-07-01,-0.1894471793310777,-0.3560360527094983,-0.1150056182378676,-0.1359284454688171,-0.4760738282392103,-0.0703612063124803,-0.1360014259913167,-0.0066054941451089,-0.1261047091438803,-0.2729848967732641,0.1058921926739017,-0.1847015139678219,-0.3353772430660519,0.1976374976470296,-0.1025879217337522,-0.0025601420043395,-0.0617033272310771,-0.3890408238246843,0.2009364370643286,-0.0479583939959054,0.2373269353948595,0.0125701416311789,-0.1539453394057919,0.0824159727220972,1.3776497616249923,0.3340365845085761,-0.2908232289597144,0.2205291795807479,1.6622810064246532,-0.5022017427991168,-0.4823429851744561,0.0940874425425786,-0.5239494853798197,0.8636913847934907,0.7867846660393879,-2.116886686420989,0.3104265398331142,-0.0906116216475261,-0.8273477991026705,0.4835606423052038,-0.3248047792147442,-0.7820810272038182,0.1910503286639646,0.1380875770040135,-0.2339028665436645,0.1943676301837658,-0.5471262451185921,-0.3650898152657882,-0.6930891668446864,0.9219004086649424,-0.5390657182274625,-0.8488621537120149,0.2948520113233087,-0.2098804797303316
1993-10-01,-0.1520635024473758,-0.3493220503228119,-0.1016199825190723,-0.0835308643477444,-0.4461686190488849,-0.0566978205665207,-0.0747692361239846,0.0080325567994852,-0.1004741588819086,-0.2680925708013124,0.130253614742157,-0.2045260135919003,-0.3489553752070623,0.2155934052493712,-0.0791135645446067,0.0845437785606395,-0.0252004359441646,-0.3852348809217304,0.2331368870793867,-0.0112059101303084,0.2605685569800809,0.0487329696174829,-0.1410472966604459,0.110878231743794,1.508522967837934,0.3485770407598866,-0.2828236700401969,0.2578287088602969,1.7354621684454163,-0.6041719139112689,-0.4931085825866532,0.1212240211823644,-0.3671679833577452,1.0842112282508694,0.7839720334572281,-2.1638069739812624,0.5779670476890746,-0.1820854904629255,-0.6976146886080319,0.3622606845744068,0.2220338389180426,-0.7048388044591175,0.1576424712065738,0.2179225707249551,0.3905128050966046,0.4036627103979336,-0.4092422584066553,-0.1685113985936047,-0.7548889259642348,1.0545758315851403,-0.5124448844651256,-0.8129534636281831,0.191336741846251,-0.1937644014032929
1994-01-01,-0.1385150344940593,-0.340365062825556,-0.0895615346671188,-0.1488037637468326,-0.4168143915934136,-0.0455448680457224,-0.1078934103641968,0.0175852115924298,-0.0463506737747923,-0.2557960403901305,0.1402765535702424,-0.2050686533426886,-0.3569154437567964,0.2261650986363437,-0.0350891364292371,0.1244729576775888,0.0207592394900608,-0.3903663466674341,0.2440430188426454,0.0223633549447608,0.2689584216230125,0.1028851008236593,-0.1926238377552219,0.1536417784209844,1.6819411272649405,0.364881616211327,-0.2781656170077002,0.3321193019473091,1.7693836354032573,-0.5990801943151228,-0.508872157573184,0.2162020464216151,-0.1878319494658284,1.4577080486664458,0.983958050139649,-1.9164054062969336,0.8971052492564173,-0.1091922512506541,-0.5826975075357336,0.3622606845744068,-0.0878413780238699,-0.7633104645053341,0.1181155059351801,0.3301497103582702,0.4133787893778478,0.5305693133091776,-0.2795945007807251,0.0347211576977427,-0.7422487579821314,1.213003399608496,-0.5508813576777071,-0.8747186412504266,-0.1420731285968305,-0.1819873314647929
1994-04-01,-0.1249406944477731,-0.3241169227867689,-0.0722203350496769,-0.0933365862081629,-0.4197861137717205,-0.0128028468770509,-0.0850960727044642,0.0273941466079497,-0.0265502003624779,-0.2509773782082348,0.1486809370519708,-0.1935518075769514,-0.3625624760107369,0.2361849005729007,-0.0131232850365085,0.2103635049085783,0.0655881798000426,-0.4153505761845919,0.2688847596920365,0.0587511552513026,0.2731709282612864,0.143229963973375,-0.1619168573338472,0.193579887303472,1.8459495511721784,0.3824186156210836,-0.2736626645938579,0.3933017524911257,1.8160070609766343,-0.449383638188428,-0.4914277936528248,0.1890654677818293,-0.160326422795289,1.545068664569256,1.2005479091646647,-1.9132422501125304,0.8159672500254349,-0.0848945048465636,-0.473213899915058,0.1196607691128128,-0.0487814767286708,-0.7657215622272573,0.0715846899573292,0.3918846393685797,-0.0102030958700515,0.6667588437575837,-0.0689044106869397,0.25867564911443,-0.7083732840266713,1.4771466299513454,-0.5932116682843673,-0.9140021754397172,-0.0282489347277403,-0.1725307446219016
1994-07-01,-0.0968224509794441,-0.3000734864454056,-0.0611885746541646,-0.0752306940862943,-0.4097110494092951,0.0159722311514373,-0.0661902447127388,0.0425718296785803,-0.0007546930191415,-0.2556357968082937,0.1653109024337298,-0.1837681697841047,-0.3688209451232154,0.2490154618138087,0.0107950108030097,0.2212850517287303,0.0888772997405511,-0.4156584020566501,0.3047122337259495,0.0863855887357801,0.3055548109624692,0.1725290056550786,-0.1450075150440591,0.208282462040259,2.020704569444137,0.402732593543592,-0.2664492178622608,0.4016125237736654,1.868475119387904,-0.5040347618537293,-0.5018498051577768,0.1754971784619361,-0.1053153694542103,1.3836246341735907,1.0311590719267658,-1.8316375849591693,0.767832990553058,-0.1406363936559476,-0.3991285612389555,-0.0016391886179835,0.0944381613537257,-0.7178726674604086,-0.007761910247511,0.4777796916442339,0.0872553392829597,0.7647785732359865,0.0750756041615341,0.4164399566963525,-0.6210196217101447,1.662850612127181,-0.666928078575858,-0.9535968843826644,-0.0981553364968066,-0.1605880054057502
