,PCE,Real Personal Income,Real personal income ex transfer receipts,Real personal consumption expenditures,Real Manu. and Trade Industries Sales,Retail and Food Services Sales,IP Index,IP: Final Products and Nonindustrial Supplies,IP: Final Products (Market Group),IP: Consumer Goods,IP: Durable Consumer Goods,IP: Nondurable Consumer Goods,IP: Business Equipment,IP: Materials,IP: Durable Materials,IP: Nondurable Materials,IP: Manufacturing (SIC),IP: Fuels,Capacity Utilization: Manufacturing,Help-Wanted Index for United States,Ratio of Help Wanted/No. Unemployed,Civilian Labor Force,Civilian Employment,Civilian Unemployment Rate,Average Duration of Unemployment (Weeks),Civilians Unemployed - Less Than 5 Weeks,Civilians Unemployed for 5-14 Weeks,Civilians Unemployed - 15 Weeks & Over,Civilians Unemployed for 15-26 Weeks,Civilians Unemployed for 27 Weeks and Over,Initial Claims,All Employees: Total nonfarm,All Employees: Goods-Producing Industries,All Employees: Mining and Logging: Mining,All Employees: Construction,All Employees: Manufacturing,All Employees: Durable goods,All Employees: Nondurable goods,All Employees: Service-Providing Industries,"All Employees: Trade, Transportation & Utilities",All Employees: Wholesale Trade,All Employees: Retail Trade,All Employees: Financial Activities,All Employees: Government,Avg Weekly Hours : Goods-Producing,Avg Weekly Overtime Hours : Manufacturing,Avg Weekly Hours : Manufacturing,Housing Starts: Total New Privately Owned,New Private Housing Permits (SAAR),New Orders for Consumer Goods,New Orders for Durable Goods,New Orders for Nondefense Capital Goods,Un lled Orders for Durable Goods,Total Business Inventories,Total Business: Inventories to Sales Ratio,M1 Money Stock,M2 Money Stock,Real M2 Money Stock,Total Reserves of Depository Institutions,Reserves Of Depository Institutions,Commercial and Industrial Loans,Real Estate Loans at All Commercial Banks,Total Nonrevolving Credit,Nonrevolving consumer credit to Personal Income,S&P s Common Stock Price Index: Composite,S&P s Common Stock Price Index: Industrials,S&P s Composite Common Stock: Dividend Yield,S&P s Composite Common Stock: Price-Earnings Ratio,E?ective Federal Funds Rate,3-Month AA Financial Commercial Paper Rate,3-Month Treasury Bill:,6-Month Treasury Bill:,1-Year Treasury Rate,5-Year Treasury Rate,10-Year Treasury Rate,Moody s Seasoned Aaa Corporate Bond Yield,Moody s Seasoned Baa Corporate Bond Yield,3-Month Commercial Paper Minus FEDFUNDS,3-Month Treasury C Minus FEDFUNDS,6-Month Treasury C Minus FEDFUNDS,1-Year Treasury C Minus FEDFUNDS,5-Year Treasury C Minus FEDFUNDS,10-Year Treasury C Minus FEDFUNDS,Moody s Aaa Corporate Bond Minus FEDFUNDS,Moody s Baa Corporate Bond Minus FEDFUNDS,Switzerland / U.S. Foreign Exchange Rate,Japan / U.S. Foreign Exchange Rate,U.S. / U.K. Foreign Exchange Rate,Canada / U.S. Foreign Exchange Rate,PPI: Finished Goods,PPI: Finished Consumer Goods,PPI: Intermediate Materials,PPI: Crude Materials,"Crude Oil, spliced WTI and Cushing",PPI: Metals and metal products:,CPI : All Items,CPI : Apparel,CPI : Transportation,CPI : Medical Care,CPI : Commodities,CPI : Durables,CPI : Services,CPI : All Items Less Food,CPI : All items less shelter,CPI : All items less medical care,Personal Cons. Expend.: Chain Index,Personal Cons. Exp: Durable goods,Personal Cons. Exp: Nondurable goods,Personal Cons. Exp: Services,Avg Hourly Earnings : Goods-Producing,Avg Hourly Earnings : Construction,Avg Hourly Earnings : Manufacturing,Consumer Sentiment Index,Consumer Motor Vehicle Loans Outstanding,Total Consumer Loans and Leases Outstanding,Securities in Bank Credit at All Commercial Banks
2019Q3,14517.7,17805.954,14754.4,105.561,1413875.0,518121.0,102.5315,99.8076,99.7302,100.0087,100.2952,99.9248,94.0191,106.0225,99.5213,98.4005,98.9311,95.77,76.9232,7160.0,1.23982684,164077,158302,3.5,22.5,1853,1759,2187,888,1299,203750,151318,21092,669.6,7551,12823,8034,4789,130226,27670,5886.9,15525.6,8785,22645,41.1,4.2,41.4,1300,1491.0,196971.0,222770.0,57664.0,1074368.0,2045682.0,1.43,3899.5,15008.1,5850.9,1504.8,1504700,2369.8779,4528.1864,3060.98335,0.165687836,2982.16,4018.11,1.918746035,22.12974745,2.04,2.03,1.89,1.84,1.8,1.57,1.7,3.03,3.91,-0.01,-0.16,-0.21,-0.25,-0.49,-0.35,0.98,1.86,0.9906,107.54,1.2369,1.3241,205.3,216.7,196.4,180.7,56.95,189.8,256.511,124.693,209.752,501.622,185.24,104.749,326.828,256.132,234.532,244.754,103.754,97.423,101.783,105.394,24.88,28.63,22.23,93.2,318925.57,727949.6,3798.7866
2019Q4,14668.0,17820.676,14792.5,106.369,1399284.0,525405.0,101.884,100.0668,100.1519,100.0117,101.1159,99.7029,95.8787,104.189,98.4269,97.4009,98.9631,91.2829,77.054,6709.0,1.142930153,164704,158834,3.6,20.7,2102,1777,2013,830,1183,235500,151764,21023,645.8,7528,12801,8013,4788,130741,27739,5898.3,15544.8,8821,22723,40.7,4.0,41.4,1551,1461.0,194889.0,216195.0,52806.0,1046150.0,2044039.0,1.43,4021.2,15320.7,5924.1,1698.3,1698300,2355.0382,4607.5026,3100.20251,0.166822852,3176.75,4294.39,1.833320492,23.48367682,1.55,1.76,1.54,1.54,1.55,1.68,1.86,3.01,3.88,0.21,-0.01,-0.01,0.0,0.13,0.31,1.46,2.33,0.9826,109.101,1.3109,1.3169,208.5,221.1,197.5,188.4,59.88,188.7,258.616,122.714,213.099,511.4,186.837,104.218,329.443,258.297,236.752,246.498,104.282,96.484,102.674,106.06,25.08,28.88,22.47,99.3,321479.31,729225.72,3825.9358
2020Q1,14473.1,17822.059,14686.1,99.576,1342940.0,478099.0,97.6672,95.1214,94.4686,95.3494,87.7332,97.5927,86.8525,100.994,92.4139,97.7624,94.359,79.2496,73.5926,5794.0,0.806514477,162635,155451,4.4,17.0,3422,1824,1910,728,1182,2337750,150944,20935,629.1,7539,12720,7964,4756,130009,27662,5878.3,15431.0,8852,22841,40.7,3.9,41.2,1267,1348.0,170223.0,199092.0,50570.0,1046381.0,2018780.0,1.51,4261.0,15978.7,6190.3,2099.4,2058800,2561.5507,4659.9231,3125.10022,0.168220538,2652.39,3651.64,2.246295677,19.68147029,0.65,1.35,0.29,0.29,0.33,0.59,0.87,3.02,4.29,0.7,-0.34,-0.34,-0.3,-0.04,0.24,2.39,3.66,0.9593,107.6673,1.2369,1.396,201.9,211.3,192.1,158.9,29.21,187.0,258.124,121.648,204.547,514.699,184.17,104.782,331.223,257.387,235.202,245.829,104.238,96.555,101.051,106.511,25.28,29.16,22.6,89.1,318871.2,717529.42,3990.0345
2020Q2,13168.9,19118.13,14433.6,101.31,1381570.0,527459.0,91.5625,91.4515,91.7981,95.6055,92.3104,96.5225,80.6587,91.5331,86.0364,90.8915,89.6775,71.7856,70.1001,6119.0,0.347197004,159900,142276,11.0,14.3,2915,11522,3281,1942,1339,1490250,137620,19726,533.7,7170,11977,7459,4518,117894,25954,5538.8,14440.7,8622,21407,39.9,3.3,39.9,1266,1329.0,172636.0,198944.0,50315.0,1034472.0,1919411.0,1.42,16559.7,18131.7,7055.5,3043.6,2945900,2925.8532,4673.2877,3143.09839,0.157778935,3104.66,4353.78,1.922271119,24.19068873,0.08,0.2,0.16,0.18,0.18,0.34,0.73,2.44,3.64,0.12,0.08,0.1,0.1,0.26,0.65,2.36,3.56,0.9513,107.5782,1.2523,1.3552,200.8,209.6,187.3,156.7,38.31,189.9,256.986,115.898,192.4,520.768,182.721,103.472,330.526,255.003,233.324,244.357,104.199,95.745,100.655,106.748,25.34,29.23,22.6,78.1,334036.91,720036.02,4172.5979
2020Q3,14456.2,18796.082,14899.2,104.986,1431727.0,551970.0,95.8444,95.3901,95.5632,99.2739,105.1224,97.5212,85.2703,96.3068,92.3662,94.5564,94.2979,76.4055,73.94,6512.0,0.516866418,160224,147625,7.9,21.5,2549,2735,7371,4958,2413,851750,141760,19916,513.7,7256,12101,7524,4577,121844,26764,5564.3,14998.1,8676,21919,40.6,3.9,41.2,1463,1643.0,185308.0,226373.0,65482.0,1035686.0,1948260.0,1.36,17158.6,18577.3,7144.3,2852.8,2774400,2760.5617,4677.4595,3179.05974,0.161006627,3365.52,4771.96,1.748617102,27.97521576,0.09,0.13,0.11,0.12,0.13,0.27,0.68,2.31,3.36,0.04,0.02,0.03,0.04,0.18,0.59,2.22,3.27,0.9149,105.589,1.2947,1.323,203.1,212.5,193.5,173.5,39.63,204.7,260.029,117.134,203.118,522.519,186.176,107.853,332.984,258.606,236.954,247.456,105.048,97.27,101.138,107.596,25.46,29.08,22.99,80.4,347627.43,730734.42,4455.7354
2020Q4,14726.7,18707.602,15124.8,105.385,1456396.0,550198.0,97.9754,97.6069,97.4882,101.3148,108.1552,99.3144,86.4194,98.3602,94.352,96.556,96.2276,77.0655,75.7272,6854.0,0.634923576,160757,149961,6.7,23.3,2915,2344,5542,1578,3963,836750,142475,20111,509.1,7355,12199,7583,4616,122364,27109,5601.3,15117.7,8720,21671,40.8,4.1,41.4,1663,1760.0,193971.0,234659.0,66510.0,1047469.0,1992749.0,1.34,17827.3,19114.4,7294.6,3135.0,3076300,2590.1907,4639.4936,3210.25807,0.162337578,3695.31,5214.92,1.57710303,33.46935364,0.09,0.17,0.09,0.09,0.1,0.39,0.93,2.26,3.16,0.08,0.0,0.0,0.01,0.3,0.84,2.17,3.07,0.8884,103.7952,1.3434,1.2809,206.7,217.5,200.5,191.0,47.02,215.9,262.035,117.674,207.9,520.809,188.212,108.192,334.907,260.636,239.28,249.633,105.707,97.788,101.805,108.284,25.78,29.64,23.18,80.7,350336.43,733463.42,4693.107
2021Q1,15217.7,22856.702,15203.4,110.072,1497543.0,615573.0,98.1351,97.6882,97.6074,100.8014,104.794,99.6464,86.9843,98.6347,95.103,94.6907,96.2212,83.3886,76.0004,8399.0,0.864806425,160463,150751,6.1,29.6,2178,1950,5552,1336,4216,669250,144328,20219,506.9,7395,12270,7624,4646,124109,27431,5637.6,15233.9,8733,21876,41.1,4.1,41.6,1700,1731.0,200644.0,246475.0,73031.0,1084813.0,2029539.0,1.28,18634.5,19840.5,7489.4,3721.3,3663300,2587.017,4643.3283,3254.79855,0.133002008,3910.51,5448.66,1.473808089,37.20013788,0.07,0.1,0.03,0.05,0.08,0.82,1.61,3.04,3.74,0.03,-0.04,-0.02,0.01,0.75,1.54,2.97,3.67,0.9298,108.6991,1.3863,1.2569,213.6,226.8,215.9,214.2,62.33,228.7,264.914,118.509,216.522,523.904,191.663,108.754,337.099,263.804,242.483,252.498,107.066,98.021,103.883,109.634,26.02,29.9,23.38,84.9,358586.15,743388.12,4970.1218
2021Q2,15950.9,19249.026,15440.9,111.48,1477907.0,621612.0,99.5096,98.1321,97.9422,101.1185,103.5599,100.4249,86.8265,101.1695,94.7867,100.5572,97.3052,89.0789,77.1028,10069.0,1.059002945,161192,151684,5.9,32.0,2005,2240,5323,1353,3970,410500,145789,20236,513.0,7400,12276,7634,4642,125553,27582,5693.1,15256.4,8767,21999,40.8,4.1,41.4,1661,1644.0,209609.0,253573.0,79000.0,1125983.0,2065024.0,1.27,19358.8,20506.6,7579.3,3848.1,3760300,2481.2614,4651.2275,3416.5451,0.163203217,4238.49,5890.27,1.365227908,37.25346325,0.08,0.09,0.04,0.05,0.07,0.84,1.52,2.79,3.44,0.01,-0.04,-0.03,-0.01,0.76,1.44,2.71,3.36,0.9078,110.1073,1.4025,1.222,219.3,233.5,230.1,238.4,71.38,254.7,270.559,121.464,233.036,522.947,198.851,118.572,341.049,269.71,248.862,258.442,108.755,102.611,104.998,110.897,26.44,30.41,23.79,85.5,443965.88,949306.22,5258.7877
2021Q3,16285.1,19120.766,15513.3,112.105,1491198.0,622104.0,99.0614,98.6416,98.1533,100.7086,100.6277,100.7076,88.7809,99.5906,94.5548,98.0027,97.1413,89.9323,77.1261,10882.0,1.417480787,161544,153867,4.8,28.6,2240,1740,3724,1041,2682,340500,147778,20473,518.8,7472,12437,7739,4698,127305,27866,5757.1,15305.4,8850,22074,41.4,4.1,41.4,1560,1636.0,216940.0,254759.0,75846.0,1160242.0,2136033.0,1.28,19865.9,20964.3,7650.4,4193.2,4124600,2417.7322,4709.1634,3455.11961,0.164129342,4445.54,6225.18,1.332896303,34.19966022,0.08,0.1,0.04,0.05,0.08,0.86,1.37,2.53,3.23,0.02,-0.04,-0.03,0.0,0.78,1.29,2.45,3.15,0.9228,110.161,1.3732,1.2671,227.283,243.592,239.489,258.268,71.65,267.362,274.028,121.23,236.76,524.605,203.019,120.535,343.62,272.876,252.34,261.991,110.096,103.832,106.954,112.051,26.82,30.7,24.11,72.8,448672.35,947339.43,5428.0644
2021Q4,16718.2,19024.303,15500.8,112.639,1505373.0,635598.0,100.886,100.0553,99.4797,101.5154,106.4438,100.1544,91.6809,101.8946,96.6392,100.0134,99.2354,91.1494,78.8279,11826.0,1.868541634,162410,156081,3.9,28.1,1989,1593,2788,799,1989,214500,149742,20757,534.1,7594,12584,7828,4756,128985,28189,5830.9,15365.2,8935,22056,41.0,4.1,41.4,1787,1948.0,227616.0,267750.0,80929.0,1191723.0,2261369.0,1.31,20494.7,21549.3,7671.9,4187.9,4149900,2473.0344,4787.1995,3495.00579,0.163678273,4674.77,6561.93,1.291979756,30.69071402,0.08,0.17,0.06,0.15,0.3,1.23,1.47,2.65,3.3,0.09,-0.02,0.07,0.22,1.15,1.38,2.56,3.22,0.921,113.8329,1.3303,1.28,233.497,251.076,249.493,267.196,71.71,269.049,280.887,124.397,253.002,532.41,211.561,126.295,348.499,279.766,260.076,268.797,112.24,106.749,110.075,113.699,27.17,31.24,24.39,70.6,448582.66,934525.5,5686.6836
2022Q1,17030.6,18795.364,15315.8,113.117,1489554.0,667050.0,102.478,101.9557,101.6043,103.4595,108.6152,102.0295,94.5054,103.1283,97.6325,100.67,100.6333,90.5996,79.8714,12027.0,2.013898192,164301,158328,3.6,24.1,2303,1688,1981,552,1429,218000,151424,20997,543.4,7692,12716,7902,4814,130427,28600,5917.9,15542.0,8997,22073,40.8,4.3,41.5,1713,1877.0,248729.0,268835.0,80120.0,1221266.0,2391911.0,1.3,20664.5,21697.9,7547.8,3874.7,3848500,2534.107,4873.1718,3539.5437,0.164549578,4391.27,6104.43,1.41121001,24.57503673,0.2,0.73,0.44,0.83,1.34,2.11,2.13,3.43,4.29,0.53,0.24,0.63,1.14,1.91,1.93,3.23,4.09,0.9294,118.5774,1.3168,1.266,245.766,266.485,263.404,307.361,108.5,301.98,287.472,126.409,264.862,538.927,218.712,127.739,354.329,286.134,267.379,275.376,114.446,107.917,115.024,115.169,27.54,31.72,24.74,59.4,446825.24,918241.74,5832.6971
2022Q2,17415.1,18662.365,15242.6,113.357,1459948.0,680515.0,102.6863,101.733,101.6046,102.7747,106.9641,101.5868,96.1558,103.8064,97.3007,99.2937,99.9576,88.3843,79.186,10961.0,1.84373423,164002,158057,3.6,22.3,2259,1576,2114,777,1337,216750,152412,21175,561.7,7749,12819,7954,4865,131237,28671,5966.3,15467.3,9043,22110,40.6,4.0,41.0,1561,1701.0,262384.0,277698.0,82428.0,1241795.0,2491271.0,1.33,20607.4,21666.1,7351.2,3228.4,3207000,2672.4564,5028.834,3590.22691,0.165138515,3898.95,5429.82,1.641981937,19.89992472,1.21,1.87,1.49,2.11,2.65,3.19,3.14,4.24,5.27,0.66,0.3,0.92,1.46,2.0,1.95,3.05,4.08,0.9702,133.9619,1.232,1.2804,258.377,282.39,279.925,359.299,114.84,266.501,294.728,127.676,278.378,546.64,225.277,128.482,362.251,293.175,275.182,282.602,116.495,108.976,118.718,116.853,27.92,32.26,25.0,50.0,447246.66,902950.77,5788.1535
2022Q3,17684.2,18856.687,15466.3,114.191,1487782.0,678202.0,103.5283,102.2519,102.1793,102.7122,106.6796,101.5783,98.2449,105.0056,98.644,98.1465,100.6212,91.1424,79.506,10854.0,1.881109185,164619,158850,3.5,20.3,2158,1643,1990,901,1089,190500,153682,21327,567.3,7797,12917,8032,4885,132355,28784,6003.8,15502.3,9068,22237,40.7,3.9,41.1,1463,1588.0,256766.0,275857.0,85136.0,1259465.0,2527512.0,1.37,20280.9,21525.1,7258.8,3131.4,3111100,2751.6679,5169.1641,3635.27238,0.164332092,3850.52,5351.31,1.696350032,19.32091956,2.56,3.21,3.13,3.63,3.89,3.7,3.52,4.59,5.69,0.65,0.55,1.05,1.31,1.12,0.94,2.01,3.11,0.9733,143.2843,1.132,1.3339,253.708,274.236,270.348,332.763,84.26,233.27,296.539,127.939,266.678,555.962,222.43,129.139,368.928,294.025,275.062,284.06,117.314,109.688,117.192,118.484,28.27,32.74,25.26,58.6,452094.91,890597.65,5670.7797
2022Q4,17917.0,18853.146,15402.2,114.078,1495942.0,673619.0,101.4848,100.9387,101.3446,102.4173,104.6367,101.7398,95.9335,102.1241,95.9948,92.3224,97.905,86.53,77.1281,11234.0,1.963299546,164966,159244,3.5,19.5,2233,1639,1895,826,1069,210600,154535,21461,582.4,7859,12974,8096,4878,133074,28767,6028.8,15477.8,9101,22331,40.3,3.6,40.6,1357,1409.0,248573.0,281966.0,90167.0,1272201.0,2545624.0,1.39,19820.9,21358.3,7143.5,3107.3,3090000,2807.206,5344.4426,3681.43359,0.164995702,3912.38,5427.07,1.710467381,19.99553039,4.1,4.51,4.25,4.55,4.68,3.76,3.62,4.43,5.59,0.41,0.16,0.46,0.59,-0.33,-0.47,0.34,1.5,0.9316,134.9148,1.218,1.3585,254.047,273.662,261.622,295.882,76.44,244.226,298.99,128.012,262.384,553.68,221.718,126.148,374.673,296.052,275.55,286.729,118.348,108.421,117.363,120.258,28.72,33.22,25.67,59.8,462762.71,885344.18,5517.1205
2023Q1,18269.6,19039.516,15596.8,115.084,1478999.0,681673.0,102.6592,101.0383,101.2358,102.4475,104.3448,101.8554,95.399,104.5694,96.1172,97.4435,99.0728,88.0265,77.7992,9745.0,1.668950163,166731,160892,3.5,19.5,2272,1733,1838,734,1104,242000,155472,21501,588.8,7890,12976,8092,4884,133971,28867,6047.9,15529.2,9095,22565,40.4,3.7,40.6,1380,1437.0,244182.0,279837.0,85285.0,1280943.0,2539799.0,1.4,18938.3,20876.0,6917.0,3258.4,3043100,2795.6367,5415.9222,3705.84097,0.162837563,3968.56,5581.89,1.718759826,20.93184762,4.65,4.91,4.69,4.77,4.68,3.82,3.66,4.6,5.71,0.26,0.04,0.12,0.03,-0.83,-0.99,-0.05,1.06,0.9255,133.6643,1.2138,1.3683,253.374,271.397,260.873,255.668,73.28,242.279,301.808,130.459,262.446,546.988,222.136,126.492,379.995,298.854,276.58,289.973,119.53,108.4,118.259,121.774,29.12,33.79,25.95,62.0,473622.87,883817.87,5362.3433
2023Q2,18419.0,19066.014,15638.0,115.693,1488903.0,690518.0,102.3002,100.3847,100.6216,101.0763,105.4297,99.8407,96.1128,104.5821,98.1036,96.2202,99.0882,88.5573,77.5576,9165.0,1.538526104,166951,160994,3.6,20.7,2068,1889,2021,917,1105,256750,156075,21582,595.5,7955,12985,8125,4860,134493,28850,6047.4,15525.4,9137,22648,40.5,3.7,40.8,1418,1441.0,241403.0,301262.0,106376.0,1324777.0,2537207.0,1.4,18490.3,20854.5,6863.6,3265.6,2974300,2764.0889,5443.5321,3711.14763,0.161907546,4345.37,6226.06,1.581222193,23.52480491,5.08,5.22,5.16,5.19,5.24,3.95,3.75,4.65,5.75,0.14,0.08,0.11,0.16,-1.13,-1.33,-0.43,0.67,0.9004,141.3581,1.2627,1.3286,251.16,267.722,254.075,242.56,70.25,251.261,303.841,131.608,265.391,547.357,223.245,127.418,383.072,301.025,277.455,292.077,120.221,108.39,118.369,122.797,29.52,34.04,26.4,64.2,492904.98,902738.96,5189.2442
2023Q3,18679.5,19088.877,15719.1,116.594,1507530.0,705304.0,103.3374,101.1754,101.537,102.2853,108.0366,100.68,95.9683,105.9284,98.4012,96.985,99.6121,90.5248,77.714,9350.0,1.470125786,167929,161570,3.8,21.5,2051,2044,2288,1072,1216,210800,156738,21643,597.5,8006,12992,8147,4845,135095,28873,6080.9,15533.8,9153,22853,40.5,3.6,40.7,1356,1471.0,252436.0,295365.0,101003.0,1352860.0,2553086.0,1.36,18171.6,20755.3,6750.1,3239.6,3017400,2765.3948,5498.29,3692.15011,0.15949846,4409.1,6323.9,,,5.33,5.49,5.32,5.31,5.44,4.49,4.38,5.13,6.16,0.16,-0.01,-0.02,0.11,-0.84,-0.95,-0.2,0.83,0.8996,147.845,1.2381,1.3531,259.574,279.221,260.114,262.15,89.43,251.022,307.481,130.833,273.006,548.079,225.542,126.29,387.981,304.857,280.506,295.843,121.267,107.154,120.395,123.976,29.9,34.54,26.64,67.9,508808.61,913938.95,5074.6634
