,1-Year Treasury Rate,6-Month Treasury Bill:,All Employees: Construction,All Employees: Financial Activities,All Employees: Goods-Producing Industries,All Employees: Government,All Employees: Manufacturing,All Employees: Nondurable goods,All Employees: Retail Trade,All Employees: Service-Providing Industries,All Employees: Total nonfarm,"All Employees: Trade, Transportation & Utilities",All Employees: Wholesale Trade,Capacity Utilization: Manufacturing,Civilian Employment,Civilian Unemployment Rate,Civilians Unemployed for 5-14 Weeks,"Housing Starts, Midwest","Housing Starts, Northeast","Housing Starts, South","Housing Starts, West",Housing Starts: Total New Privately Owned,IP Index,IP: Business Equipment,IP: Final Products (Market Group),IP: Final Products and Nonindustrial Supplies,IP: Manufacturing (SIC),IP: Materials,M1 Money Stock,M2 Money Stock,New Private Housing Permits (SAAR),"New Private Housing Permits, Midwest (SAAR)","New Private Housing Permits, Northeast (SAAR)","New Private Housing Permits, South (SAAR)","New Private Housing Permits, West (SAAR)",Ratio of Help Wanted/No. Unemployed,Real M2 Money Stock,Real Manu. and Trade Industries Sales,Real personal consumption expenditures,Retail and Food Services Sales,PCE
1989-01-01,0.5800000000000001,0.629999999999999,-0.21649839747225963,0.1914251973943655,0.06234025512039665,0.4837176876518967,0.19398648178263755,0.41615902782279335,1.1925727528236507,0.850987130281311,0.6740687189189742,0.9590035407008202,1.2395667257443677,-0.6443000000000012,0.7875610141516276,-0.2999999999999998,-8.939591909537548,5.702541710736022,5.05599638090638,6.275571258602725,5.937784971155417,7.219569879509055,0.09818028719257299,0.07291521519752209,0.042326380657353724,0.2139602000245766,-0.2850041539897319,-0.039670341863828895,-0.8534972620772407,-0.6688692962264042,7.084504520902982,5.46544284994761,5.1920905064151865,6.055205527672526,5.867229163323991,-0.005109362000000006,-0.8518630128265592,-1.581779746083889,-0.09671700286455476,-0.04693175409862249,1.6087686490834585
1989-04-01,-1.1300000000000008,-0.9199999999999999,0.5660371578002151,0.11089648737221702,-0.07065522623062037,0.5037230105925161,-0.26058285474181986,0.04295225207417985,0.5746572833801977,0.5049942981637301,0.3765399908155942,0.39614589006244927,-0.25316710168947765,-0.962600000000009,0.33782663079549025,0.2999999999999998,8.791187232287978,5.486554412883734,5.168792556522928,6.258066732129775,6.096432292515028,7.236611787833734,-0.5942610136314919,1.4767122021318801,-0.14741978080001772,-0.29924672034606914,-0.4886475763943743,-0.9463986741677921,-0.7492740633288086,0.5515942030079657,7.179898999911597,5.486476071576919,5.163200860846096,6.213467580580668,5.979123081585832,-0.067917169,-0.6047499328134975,0.15223067290861536,0.6707910668248829,2.547719028677875,1.8058412366203314
1989-07-01,-0.21999999999999886,-0.1899999999999995,0.22466435553665887,0.1921615229562634,-0.21643228293779515,0.6399754723446449,-0.5064710979393539,-0.12891214275398966,0.13594026798120495,0.46809000547121116,0.3160874366873401,0.19526922283326087,-0.11823713641696543,-1.0594999999999999,-0.05452098340974487,0.0,-1.949574369669893,5.553689651290082,5.149107055157334,6.209465922538577,5.931753936112145,7.173814416883084,-0.3370806127982462,-0.3460654099985305,-0.5879066265489286,-0.4623218057195899,-0.5070063193840291,-0.18792479800189277,2.1856505804247917,1.175348909071161,7.172723031697551,5.500702188433859,5.134129738753406,6.211439935879509,5.965199216067749,0.0016644890000000467,1.549472834824872,0.7727241920434835,1.064416181076755,1.953340387108149,1.5524100016222064
1989-10-01,-0.5000000000000009,-0.3200000000000003,-0.39624610324316745,0.08287630363421632,-0.2127261016173776,0.26591340249275675,-0.22903118689612256,0.15753673147109737,-0.8061855971348564,0.6120924720768528,0.43000917989886034,-0.23081372047499826,-0.028626773862683308,-0.6501999999999981,0.40478999418134265,0.10000000000000053,0.3024195853265965,5.525432261279218,4.894835826814481,6.082013908044706,5.984369596086,7.1097780572425195,0.7770150088124872,0.6926356626635322,1.3780518879618953,1.1448420168848727,0.014168031245542778,0.33626688454138076,0.5472480612101371,-0.18945517812891666,7.221456457947461,5.435544734993873,5.074087756194801,6.271274385806255,6.0895141259764545,0.004706828999999968,0.723766730023101,0.25024675014293507,0.806141956303863,0.01741328144966303,1.2198799233978264
1990-01-01,0.6299999999999999,0.4299999999999997,1.0780007615111022,0.2205670030985648,0.3085135441287079,1.2043369189344233,-0.07272931031945262,0.07152564499186553,1.1705647572419764,0.8516180501786152,0.7323625688384183,0.7526155588896799,-0.0859295239868274,0.8414000000000073,1.1585014374531966,-0.20000000000000018,5.578745829318343,5.639189429677733,4.973507791693509,6.2353522069836975,5.946745686182077,7.179301813711751,0.8729848813976204,2.513431281326195,0.5670978310976516,0.8484687502510191,1.79873329034832,0.9021811706232175,-0.43340986674120785,-0.7359488161570837,7.138621647239936,5.539515543622533,5.040393712132443,6.13982541886228,5.963003076831528,-0.03449932099999997,-0.6188984108089102,1.2716960371125907,0.32858622504847723,2.689785244966636,2.278360362254084
1990-04-01,-0.25,-0.21999999999999975,-1.5617915309648667,0.4833126470096097,-0.7269417038916259,1.4220049655325084,-0.5162170592598159,-0.3437906265347124,-0.17937224540283125,0.4603174407304067,0.20137323256950168,-0.05735336446459627,0.024831670057423594,-0.39679999999999893,-0.18472963361624295,0.0,0.8058825316351381,5.4008384899956905,4.601523648327855,6.321080146526189,5.712143542499508,7.073230510902026,0.3948563698770613,0.9299720022896807,0.447683954857947,0.3269030480206325,0.2069036224068732,0.4765719889520792,-0.1721166114601047,-0.4485818350307369,7.002657086957767,5.404780401886049,4.75619007342702,6.047545572290076,5.829381200026045,-0.03333345600000004,-0.26641924287966745,-0.09166816997634442,0.4357487062083276,-0.054123318452425906,1.2099119847846396
1990-07-01,-0.33999999999999986,-0.3099999999999996,-2.0895232640527768,-0.028595918803452497,-1.1725144872347215,-0.6433671801243435,-0.9439097918633621,-0.41699679376687726,-0.41370522012886823,-0.06745833540691137,-0.3063208368486059,-0.29611318125351005,-0.17777782459980074,-0.482600000000005,-0.38651540496292824,0.7000000000000002,11.410404900826165,5.449614146008233,4.676612981140746,6.076961928406144,5.768237950876022,7.0051704291032735,0.22586541566687046,1.0272549532261532,0.2584074889025345,0.11309224907929405,-0.02394376100882667,0.35962366959645387,0.49298495950429455,0.527580185547194,6.9144042654471365,5.387800252326488,4.7448449706576685,5.958902477073933,5.641372873758395,-0.10948081300000001,-0.7180121307950316,-1.3921237705387668,0.18705968499883596,1.1633693049814653,1.659256163613776
1990-10-01,-0.71,-0.6200000000000001,-2.8840815173612597,-0.3913506095968145,-1.5778661008580386,0.1679989556489403,-1.222732637473456,-0.7085562143641866,-0.3726584584706316,0.023266635749585873,-0.31916915152176983,-0.1639017842389734,-0.3814713299172823,-2.4843000000000046,-0.23905571750315602,0.39999999999999947,7.73821824352563,5.449121054053818,4.6495620259129815,6.01790930120791,5.524754086965181,6.908036794387058,-2.5802241292436356,-3.513523663877205,-3.1695592985024668,-2.707380770076284,-2.6522291172623724,-2.42674065252535,-0.8525074370345997,-0.7375546982469672,6.795994103725459,5.248246782515518,4.6597322923437785,5.856877564377555,5.5161950114660785,-0.092160419,-0.7478121603265997,-2.6652510309043365,-1.0185002682307598,-0.7461392779649856,0.5496086217201324
1991-01-01,-0.6499999999999995,-0.7800000000000002,-2.9609091670858128,0.014311612067787059,-1.8399422954008315,0.108236832733688,-1.4767895434271594,-0.6113556159302647,-1.0430232206147139,-0.21076050396224844,-0.5547915396595826,-1.0159609710914452,-0.8544670132099697,-1.9027999999999992,-0.4993799935066434,0.5,13.304394440624279,5.425438865243326,4.693745935285989,5.997005234550194,5.330922811793125,6.853135697001611,-1.6233802339599812,-1.1331860400209948,-0.8032551710848601,-1.4135172582045108,-2.0970887044546416,-1.8819624195445694,1.1361919269705645,0.9925704278545666,6.838347134968728,5.328352732412978,4.650760512360051,5.8917767810032995,5.555908972836595,-0.08218492799999999,1.072976044762175,-0.650908426482566,0.8813573895928517,-0.07082593185110397,0.14725830988933097
1991-04-01,-0.040000000000000036,-0.16999999999999993,-1.7964118529643203,-0.4872174072174696,-0.91288587923124,0.3940732244881673,-0.5616677531968151,-0.26315804660566045,-0.6478476189176519,-0.027979528494270767,-0.21299655363637982,-0.5253834577649386,-0.3162441399764404,1.3547999999999973,-0.011050146425795049,0.10000000000000053,-2.3481741894716635,5.566294244990288,4.850317433926351,6.033109656969706,5.488402911588154,6.952008536307163,2.0583652509505335,1.7295233028694401,2.0692597099150056,2.0992182675850124,2.036250330127576,2.0055661708608064,0.44013348285760756,-0.6206175362871491,6.8780932748539945,5.403140300472295,4.678156178305817,5.934994339461931,5.582424159657125,-0.0014998889999999765,0.012173101518442309,2.3193069581772363,-0.06031927799758918,1.2621194338590769,1.3666003338636656
